cleaned,complaint,not_complaint,username,tweet,date,kmeans_umap,kmeans_flair,kmeans_pca,dbscan_umap,dbscan_flair,dbscan_pca
bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya angin sorga tp bau kentut uang,0.0,1.0,dian_geraihalo,BULLSHIT........... MANA UANG SAYA  DARI APRIL MEI JUNI JULI NGGAK ADA KEJELASAN..... JGN BILANG KALAU KALIAN SDH EMAIL... EMAIL MU ISINYA ANGIN SORGA TP BAU KENTUT.... MANA UANG SAYA,2020-07-11,1,0,0,8,13,0
bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya angin sorga tp bau kentut uang,0.0,1.0,dian_geraihalo,BULLSHIT........... MANA UANG SAYA  DARI APRIL MEI JUNI JULI NGGAK ADA KEJELASAN..... JGN BILANG KALAU KALIAN SDH EMAIL... EMAIL MU ISINYA ANGIN SORGA TP BAU KENTUT.... MANA UANG SAYA,2020-07-11,1,0,0,8,13,0
bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya angin sorga tp bau kentut uang,0.0,1.0,dian_geraihalo,BULLSHIT........... MANA UANG SAYA  DARI APRIL MEI JUNI JULI NGGAK ADA KEJELASAN..... JGN BILANG KALAU KALIAN SDH EMAIL... EMAIL MU ISINYA ANGIN SORGA TP BAU KENTUT.... MANA UANG SAYA,2020-07-11,1,0,0,-1,13,0
bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya agin sorga tp bau kentut uang,0.0,1.0,dian_geraihalo,BULLSHIT........... MANA UANG SAYA  DARI APRIL MEI JUNI JULI NGGAK ADA KEJELASAN..... JGN BILANG KALAU KALIAN SDH EMAIL... EMAIL MU ISINYA AGIN SORGA TP BAU KENTUT.... MANA UANG SAYA,2020-07-11,1,0,0,8,14,0
bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya agin sorga tp bau kentut uang,0.0,1.0,dian_geraihalo,BULLSHIT........... MANA UANG SAYA  DARI APRIL MEI JUNI JULI NGGAK ADA KEJELASAN..... JGN BILANG KALAU KALIAN SDH EMAIL... EMAIL MU ISINYA AGIN SORGA TP BAU KENTUT.... MANA UANG SAYA,2020-07-11,1,0,0,8,14,0
bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya agin sorga tp bau kentut uang,0.0,1.0,dian_geraihalo,BULLSHIT........... MANA UANG SAYA  DARI APRIL MEI JUNI JULI NGGAK ADA KEJELASAN..... JGN BILANG KALAU KALIAN SDH EMAIL... EMAIL MU ISINYA AGIN SORGA TP BAU KENTUT.... MANA UANG SAYA,2020-07-11,1,0,0,8,14,0
bedanya,0.0,1.0,anwaroprek,Apa bedanya sama koinworks?,2020-07-11,0,0,0,-1,-1,0
hmm menarik asetku so far nyoba akseleran,0.0,1.0,gaskafedi,Hmm menarik juga ini Asetku. So far baru nyoba Akseleran sama KoinWorks,2020-07-10,0,0,0,-1,-1,0
kek gitu nih ya,0.0,1.0,masdeeep,Kek koinworks gitu nih ya?,2020-07-10,0,0,0,-1,-1,0
ya foto selfie ktp pending sudah seminggu nih,0.0,1.0,ururleahcim,@koinworks kenapa ya untuk foto selfie + ktp saya masih pending terus. Padahal sudah hampir seminggu nih,2020-07-08,0,0,0,-1,-1,0
wkwkwk bibit gitu,0.0,1.0,haehugs,Wkwkwk koinworks mirip sama bibit gitu??,2020-07-08,0,0,0,-1,-1,0
in hindsight this is amazing we also offer virtual spaces for those wanting to achieve it come check us out,0.0,1.0,apiary_id,"In hindsight, this is amazing!
We also offer virtual spaces for those wanting to achieve it!
Come check us out!",2020-07-08,0,1,0,-1,-1,-1
invest aman ga ya,0.0,1.0,_littlethinkers,yang invest di koinworks aman ga ya?,2020-07-07,0,0,0,-1,-1,-1
hai mimin titip salam mark bruny yah bilangin kalo udah available posisi kemarin yach,0.0,1.0,hanmulaul,"hai mimin, titip salam buat Mark Bruny yah, bilangin kalo saya udah available buat posisi kemarin yach :3",2020-07-06,0,0,0,-1,-1,0
iya sih ya pengen tawarin bisnis tabungan perdagangan investasi berdagang bilang profit bisa istilah trending jaman bisnis trading aplikasi,0.0,1.0,dsemryani,"Iya, kurang tahu juga sih koinworks itu apa,,, ya di sini yg pengen saya tawarin bisnis tabungan perdagangan, jadi investasi sekalian berdagang, itu makanya tadi saya bilang profit bisa Setiap hari, istilah trending jaman sekarang bisnis trading, lagi pula ini bukan aplikasi",2020-07-06,0,0,0,-1,-1,0
rate amburadul sist beli ori masi buka sampe minggu rate maknyus pake sist,0.0,1.0,febriandirfan,"Tapi rate lagi amburadul sist, beli ori 17 aja masi buka sampe minggu depan, rate 6%

Kalau mau yg maknyus pake koinworks sist",2020-07-01,0,0,0,-1,-1,0
engga palingga kasih penawaran asuransi kakak,0.0,1.0,_aramuh,atau boleh engga palingga kasih penawaran asuransi ke kakak?,2020-06-30,0,0,0,-1,-1,0
akes bisa membantu rakyat miskin angkat derajatnya crowd funding spt kitabisa akses permodalan basis online spt sdh molai usaha dg modal paspasan,0.0,1.0,jokosumiyanto,Dan banyak juga akes lain yg bisa membantu rakyat miskin ini angkat derajatnya misal dengan crowd funding spt @kitabisa atau akses permodalan basis online spt  @koinworks  buat yg sdh molai usaha dg modal paspasan,2020-06-25,0,0,0,-1,-1,0
investree ga man teman kl usaha online tp bunganya tenornya cm th santara bentuknya hrs pt ngubur mimpi lanjutkan idup,0.0,1.0,vivi3284,"Koinworks, investree ga memungkinkan man teman. Boleh kl usaha awalnya online tp bunganya tinggi & tenornya cm 2 th. Santara bentuknya hrs PT. *ngubur mimpi. Lanjutkan idup*",2020-06-24,0,0,0,-1,-1,0
setau sih bisa kalo startup funding nya venture capital kayaknya support bisnis bisnis cuss coba,0.0,1.0,ekamiauw,Setau aku sih bisa buat semua. Kalo startup kan minta funding nya ke venture capital. Justru Koinworks ini kayaknya support untuk bisnis bisnis baru. Cuss coba aja~,2020-06-23,0,0,0,-1,-1,0
ada sisi borrower lender lender bisa chip in nominalnya interest rate,0.0,1.0,ekamiauw,Koinworks mungkin. Kan ada sisi borrower sama lender. Nanti yang lender bisa chip in berapa pun nominalnya. Mereka pun dapat interest rate juga.,2020-06-23,0,0,0,-1,-1,0
masukin jenius utangin,0.0,1.0,madqualiaa,"Masukin jenius, utangin di koinworks",2020-06-23,0,4,0,-1,-1,0
ga bisa tidur belanja hadeuh,0.0,1.0,dhannywij,"Ga bisa tidur, malah belanja koinworks. Hadeuh.",2020-06-23,0,0,0,-1,-1,0
sedih sih bro pgn untung gede rugi gpp drpda ga samsek nyesel invest bnyk orang,0.0,1.0,ifkaru,"Sedih sih bro, pgn untung gede malah jadi rugi. Tapi gpp lah drpda ga balik samsek.. nyesel invest bnyk di 1 orang..",2020-06-20,0,0,0,-1,-1,0
skrg juni ada kejelasan ojkindonesia mediaindonesia mediakonsumenid,1.0,0.0,sastrogozali,Ini sampai skrg hampir akhir Juni belum ada kejelasan? @koinworks @ojkindonesia @mediaindonesia @MediaKonsumenID,2020-06-18,0,0,0,-1,-1,0
tertarik,0.0,1.0,aku_dimanaaaa,saya sempat tertarik dengan koinworks,2020-06-17,0,0,0,-1,-1,0
cons cs cepat penanganan email mention dm bisa teratasi menghabiskan minggu,0.0,1.0,windarja,"Cons dari KoinWorks adalah cs yang kurang cepat dalam penanganan. Tapi di kasus saya, setelah saya email, mention twitter, dan dm twitter masalah bisa teratasi meskipun menghabiskan waktu hingga 1 minggu (6)",2020-06-16,0,4,0,-1,-1,0
peminjam membayar jatuh tempo biarkan perannya penagihan pendana cermat mengerti peminjam layak danai,0.0,1.0,windarja,Jika peminjam tidak membayar pada saat jatuh tempo? Biarkan KoinWorks melakukan perannya dalam penagihan dan kita sebagai pendana lebih cermat dan mengerti peminjam mana yg layak kita danai (5),2020-06-16,0,4,0,-1,-1,0
berdasarkan pengalaman investasi platform salah pilihan investasi ada dana anggap deposito jangka pendek bunga,0.0,1.0,windarja,"Berdasarkan pengalaman saya di KoinWorks, investasi di platform ini merupakan salah satu dari pilihan investasi yang ada. Tidak perlu dana yg banyak tetapi anggap saja deposito jangka pendek (1-12 bulan) dengan bunga yang cukup tinggi. (4)",2020-06-16,0,4,0,-1,-1,0
keuntungan koin takut kehilangan dana tips ada sumber dana cash koin koin grade c return tertinggi marketplace ada grade d e jarang ada check out,1.0,0.0,windarja,"Keuntungan dari KOIN di KoinWorks apa? Tidak takut adanya kehilangan dana sama sekali! Tips jika ada 2 sumber dana CASH dan KOIN, maka gunakan KOIN pada grade C (return tertinggi di marketplace yg pernah ada), grade D dan E? Jarang sekali ada untuk kita check out (2)",2020-06-16,0,4,0,-1,-1,17
sudah dm ya min thanks,1.0,0.0,bangbingbung,Sudah di DM ya min thanks,2020-06-10,4,0,0,-1,-1,0
utk proses verifikasi legal ya sdh pending thx,1.0,0.0,chreviniumz,@koinworks utk proses verifikasi legal berapa lama ya? ini sdh 3 hari lebih masih pending soalnya. thx,2020-06-08,0,0,0,-1,-1,0
selamat siang admin tolong cek dm ya,1.0,0.0,dikaantoni,"@koinworks selamat siang admin, tolong cek dm ya",2020-06-08,4,0,0,-1,-1,0
setting aplikasi memunculkan notifikasi ada calon borrowers dgn kriteria,1.0,0.0,bayubask,@koinworks bagaimana caranya untuk setting di aplikasi agar memunculkan notifikasi setiap ada calon borrowers dgn kriteria yang kita inginkan ?,2020-06-06,0,4,0,-1,-1,0
menarique konsep invest,0.0,1.0,predatorzl,Menarique juga konsep invest di koinworks ini...,2020-06-05,0,4,0,-1,-1,7
proses verifikasi sudah minggu verifikasi proses gimana percaya investasi platform klu penangan nya lambat,1.0,0.0,triztanardava,"@koinworks proses verifikasi lama sudah 1 Minggu verifikasi masih dalam proses...
Gimana kita percaya investasi di platform ini ..klu penangan nya saja lambat .",2020-06-04,0,0,0,-1,-1,0
sudah dm min cek ya,1.0,0.0,kivid08,Sudah saya dm min cek ya,2020-06-02,4,0,0,-1,-1,-1
dibalas yak min,1.0,0.0,kivid08,@koinworks belum dibalas yak min,2020-05-31,0,0,0,-1,-1,0
mohon ditindak lanjuti min voucher beli ga bisa,0.0,1.0,kivid08,@koinworks mohon ditindak lanjuti min voucher yang saya beli.. kok ga bisa,2020-05-30,0,0,0,-1,-1,0
ada restrukturisasi hutang gaada notifikasi lender ya,0.0,1.0,ramamyid,@koinworks Ketika ada restrukturisasi hutang gaada notifikasi ke lender ya?,2020-05-29,0,4,0,-1,-1,0
terima kasih kak,1.0,0.0,xyzkakajbdjak,Baik terima kasih kak,2020-05-28,3,0,0,12,-1,0
terima kasih kak,1.0,0.0,xyzkakajbdjak,Baik terima kasih kak,2020-05-28,3,0,0,12,-1,0
terima kasih kak,1.0,0.0,xyzkakajbdjak,Baik terima kasih kak,2020-05-28,3,0,0,12,-1,0
halo kak mengajukan perihal sponsorship ya kak,1.0,0.0,xyzkakajbdjak,"@koinworks Halo kak. Saya ingin bertanya, jika ingin mengajukan perihal sponsorship bagaimana ya kak?",2020-05-28,0,0,0,-1,-1,0
sudah dm min,1.0,0.0,tingtingjohan,Aku sudah dm min.,2020-05-27,4,0,0,-1,-1,0
sudah dm min,1.0,0.0,tingtingjohan,Aku sudah dm min.,2020-05-27,4,0,0,-1,-1,0
rekomendasi om lupa hehe,1.0,0.0,glasgowsoul,"Rekomendasi selain koinworks apa Om? Aku lupa, hehe",2020-05-27,0,0,0,-1,-1,0
udah dm min mohon direspon,0.0,1.0,fartheist,"Udah saya DM di IG min, mohon direspon yaa.",2020-05-26,0,0,0,-1,-1,0
withdrawal mei failed udah coba website tolong cepat perbaiki,1.0,0.0,nancy_noname,"@koinworks mau withdrawal dari 25 Mei 2020, selalu failed. Udah Coba di app Dan website. Tolong cepat perbaiki.",2020-05-26,0,0,0,-1,-1,0
udah kerja tanggal penarikan ni,0.0,1.0,asmurcom,udah 5 hari kerja dari tanggal penarikan ni,2020-05-26,0,0,0,-1,-1,0
dibutuhkan penarikan uang,0.0,1.0,asmurcom,@koinworks berapa lama waktu yang dibutuhkan untuk melakukan penarikan uang?,2020-05-26,0,4,0,-1,-1,0
min cek dm bantu ya terima kasih,1.0,0.0,maulfadhila,"@koinworks Min, cek Dm dan bantu jawab pertanyaan ya. Terima kasih.",2020-05-25,4,0,0,-1,-1,0
min dana jatem april koq masuk oasang status dm ga baca,1.0,0.0,tingtingjohan,"Min, dana yg jatem awal april koq belum masuk? Jangan hanya oasang status Twitter tapi dm GA di baca.",2020-05-24,0,0,0,-1,-1,0
invest uang nya eh ga jatem april sampe ga dikomplen wa robot reply email ga ada balasan ckck,1.0,0.0,tingtingjohan,"@koinworks jangan mau invest di koinworks, uang awal nya kembali, eh lama lama ga kembali. Jatem awal april sampe sekarang ga balik. Dikomplen di wa, hanya robot yg reply, di email ga ada balasan. Ckck",2020-05-24,0,0,0,-1,-1,0
ya pinjaman jatem april sampe bayarkan,1.0,0.0,tingtingjohan,Ya sama pinjaman jatem 6 april sampe sekarang belum di bayarkan.,2020-05-23,0,0,0,-1,-1,0
min dm tolong baca ya,1.0,0.0,tingtingjohan,Min aku dm tolong di baca ya.,2020-05-23,4,0,0,-1,-1,0
ive received an email regarding an otp via email but ive never registered w ur website or before would appreciate it if you could remove me from the mailing list,0.0,1.0,wavylnterlude,"@koinworks hi, ive received an email regarding an OTP via email but ive never registered w ur website or app before. would appreciate it if you could remove me from the mailing list :)",2020-05-22,0,1,0,-1,-1,0
sang peduli ttg bisa perusahaan finansial gemetar krn reputasinya jatuh,0.0,1.0,aryadwipangga03,Sang @koinworks seperti tidak peduli sama sekali ttg hal yg bisa membuat perusahaan finansial lain gemetar krn reputasinya jadi jatuh.....,2020-05-18,0,0,0,-1,-1,0
tergantung gagal bayar macet lender uangme asetku setau w dijamin dana pokoknya lebi berisiko lending umkm,0.0,1.0,escoaloplop,"tergantung. koinworks banyak gagal bayar, ikut macet ke lender. uangme & asetku setau w dijamin dana pokoknya. dan lebi berisiko lending ke UMKM.",2020-05-15,0,0,0,-1,-1,0
lo iya beneran hilang udah dianggap penipuan kah,0.0,1.0,aryadwipangga03,lo? iya beneran hilang..... udah dianggap penipuan kah koinworks ini?,2020-05-15,0,0,0,-1,-1,0
aplikasinya pendanaa ya,1.0,0.0,stevanh08,Aplikasinya untuk pendanaa apa ya?,2020-05-15,0,0,0,-1,-1,0
hilang playstore,0.0,1.0,aw1g2g,app koinworks kok hilang dari playstore?,2020-05-14,0,0,0,-1,-1,0
meringankan itikad perusahaan membayarkan thr karyawannya gadjian bekerjasama menawarkan solusi dana talangan thr program nama koin gaji thr,0.0,1.0,hadirrapp,"Untuk meringankan itikad baik perusahaan yang tetap membayarkan THR karyawannya, @Gadjian bekerjasama dengan @KoinWorks menawarkan solusi dana talangan THR. Program ini diberi nama ""Koin Gaji THR 2020"".",2020-05-12,3,4,0,-1,-1,0
meringankan itikad perusahaan membayarkan thr karyawannya gadjian bekerjasama menawarkan solusi dana talangan thr program nama koin gaji thr,0.0,1.0,hadirrapp,"Untuk meringankan itikad baik perusahaan yang tetap membayarkan THR karyawannya, @Gadjian bekerjasama dengan @KoinWorks menawarkan solusi dana talangan THR. Program ini diberi nama ""Koin Gaji THR 2020"".",2020-05-12,3,4,0,18,-1,0
oke sudah dm ya min mohon bantuannya terima kasih,1.0,0.0,011000101,"Oke sudah saya dm ya min, mohon bantuannya terima kasih",2020-05-12,0,0,0,-1,-1,0
heleh loan kw bnyk ga perform ajaib bgt ada gitu ksp bogor bisa dapet pinjeman kw bayar cicilan ngilang ga filter dlu peminjamnya pdhal nama ksp namanya negatif berita lokal ama nasional,1.0,0.0,ifkaru,"Heleh, loan di KW aja bnyk yg ga perform.. ajaib bgt ada gitu ksp di bogor bisa dapet pinjeman di kw, bayar cicilan sekali terus ngilang.. ga di filter dlu apa peminjamnya.. pdhal nama ksp itu namanya negatif di beberapa berita lokal ama nasional.",2020-05-12,0,0,0,-1,-1,0
main reksadana ga dil,1.0,0.0,bagusrahmanx,main reksadana atau ga koinworks dil,2020-05-10,0,0,0,-1,-1,0
hallo coba portofolio laporan keuangan transparan ada udah jatuh tempo terbayarkan ada alasan fitur buka data lender ga bisa dibuka merekomendasikan keorang keluhan usernya tdk ditanggapi,1.0,0.0,fartheist,"Hallo @koinworks, coba portofolio dan laporan keuangan dibuat lebih transparan. Ada yg udah jatuh tempo namun belum terbayarkan tanpa ada alasan yg jelas. Fitur buka data lender pun ga bisa dibuka. Bagaimana mau merekomendasikan keorang lain, jika keluhan usernya tdk ditanggapi.",2020-05-08,0,0,0,-1,-1,0
terima kasih informasi nya min,1.0,0.0,vincentyantho,Terima kasih untuk informasi nya min,2020-05-05,3,0,0,-1,-1,0
mantap,0.0,1.0,bachtiar2222,@koinworks mantap,2020-05-04,0,0,0,-1,-1,0
bisa mengambil produk pinjaman koin bisnis ada penghasilan min,0.0,1.0,vincentyantho,Apakah bisa mengambil produk pinjaman koin bisnis kalau tidak ada penghasilan tetap min?,2020-05-04,0,4,0,-1,-1,0
min bisa mengambil pinjaman ada penghasilan,0.0,1.0,vincentyantho,"@koinworks Min, apakah bisa mengambil pinjaman kalau tidak ada penghasilan tetap?",2020-05-01,0,0,0,-1,-1,0
dibutuhkan persiapan matang ya emang sih ngumpulin modal nggak mudah ada tips bisa coba pasangan modal nikah tips menabung persiapan nikah dilansir,0.0,1.0,pikirantrader,"Oleh karena itu, dibutuhkan persiapan yang matang dong ya. Emang sih ngumpulin modal nggak mudah, tapi ada beberapa tips yang bisa kalian coba bersama pasangan, untuk mempersiapkan modal nikah. Berikut 5 tips menabung untuk persiapan nikah seperti yang dilansir dari koinworks.",2020-04-27,0,4,0,-1,-1,0
pandemi maenan asetku worth it,0.0,1.0,strukparkir,Masa pandemi maenan asetku sama koinworks masih worth it?,2020-04-23,0,0,0,-1,-1,12
